Seed,FinalEntityCount,MaxEntityCount,StepsRun,ExecutionTime(ms),AverageAge,AverageEnergy,AvgSpeed,AvgMass,AvgEnergyEfficiency,AvgSightRange,AvgMetabolismRate,AvgReproductionThreshold,GRASSCount,MOUNTAINCount,FORESTCount,DESERTCount,TUNDRACount,SWAMPCount,OCEANCount,VOLCANICCount
-6838248172422091428,0,1,58,108,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-6506760629280765256,0,1,16,229,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
3147357808382309923,0,1,17,149,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-2760610492036859647,0,1,13,310,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-2104233963019151571,0,1,70,155,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
1062233592044768543,0,2,221,728,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-6250916698308156587,0,2,286,1246,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
7292243782213311684,0,2,311,1226,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
5493692829306666135,0,1,13,27,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-7582433817391014004,0,2,227,1142,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-8215945197737066578,0,3,327,1347,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
5422349440986086718,0,2,172,1083,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-872592356414405121,0,1,194,1045,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
4182622984320810064,0,1,47,388,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
4426567302189556149,0,1,48,47,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
4080919050500035760,0,2,310,534,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
867888236354320428,0,1,62,49,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
1193040785592953537,0,1,23,294,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
8552776366546443922,0,1,38,44,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
4758111580955621027,0,2,232,1097,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
-4931998553908552501,0,1,18,48,0.00,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,
