Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilität,Energie,Alter,Lebendig,Kategorie,Datei
2000,2,43,SUMPF,1.503,2.0,0.636,200.0,309,1,same,ca_detail_1762512270723
2000,2,44,GRASLAND,1.503,2.0,0.584,200.0,451,1,same,ca_detail_1762512270723
2000,2,45,TUNDRA,1.831,2.0,1.696,95.53,134,1,same,ca_detail_1762512270723
2000,2,46,TUNDRA,2.0,1.796,1.133,73.27,15,1,same,ca_detail_1762512270723
2000,2,47,TUNDRA,2.0,2.0,1.696,53.63,122,1,same,ca_detail_1762512270723
2000,2,48,SUMPF,2.0,2.0,1.612,140.64,4,1,same,ca_detail_1762512270723
2000,2,49,WÜSTE,1.831,2.0,1.696,6.84,156,1,same,ca_detail_1762512270723
2000,3,0,TUNDRA,1.194,2.0,1.655,72.72,80,1,same,ca_detail_1762512270723
2000,3,1,TUNDRA,0.5,1.12,1.876,93.21,1,1,same,ca_detail_1762512270723
2000,3,2,VULKAN,0.5,1.022,2.0,3.41,9,1,same,ca_detail_1762512270723
2000,3,3,WALD,0.5,1.633,1.617,173.66,95,1,same,ca_detail_1762512270723
2000,3,4,TUNDRA,0.676,1.454,2.0,67.88,8,1,same,ca_detail_1762512270723
2000,3,5,OZEAN,1.589,2.0,1.544,200.0,211,1,same,ca_detail_1762512270723
2000,3,6,SUMPF,1.819,2.0,1.93,194.06,46,1,same,ca_detail_1762512270723
2000,3,7,VULKAN,1.909,1.857,1.319,11.95,10,1,same,ca_detail_1762512270723
2000,3,8,OZEAN,1.098,1.825,0.897,159.11,105,1,same,ca_detail_1762512270723
2000,3,9,SUMPF,0.903,2.0,1.414,200.0,353,1,same,ca_detail_1762512270723
2000,3,10,VULKAN,1.098,1.825,0.897,82.19,2,1,same,ca_detail_1762512270723
2000,3,11,TUNDRA,0.5,2.0,1.351,64.06,92,1,same,ca_detail_1762512270723
2000,3,12,GEBIRGE,0.5,2.0,2.0,142.28,148,1,same,ca_detail_1762512270723
2000,3,13,WÜSTE,0.5,2.0,2.0,75.2,4,1,same,ca_detail_1762512270723
2000,3,14,VULKAN,0.5,2.0,1.442,57.0,5,1,same,ca_detail_1762512270723
2000,3,15,GEBIRGE,0.5,1.456,1.597,4.05,36,1,same,ca_detail_1762512270723
2000,3,16,GRASLAND,0.5,2.0,1.481,200.0,507,1,same,ca_detail_1762512270723
2000,3,17,WÜSTE,0.684,2.0,2.0,53.95,48,1,same,ca_detail_1762512270723
2000,3,18,OZEAN,0.5,2.0,2.0,200.0,336,1,same,ca_detail_1762512270723
2000,3,19,WÜSTE,0.602,2.0,1.627,69.0,5,1,same,ca_detail_1762512270723
2000,3,20,WÜSTE,0.5,2.0,1.496,0.8,16,1,same,ca_detail_1762512270723
2000,3,21,VULKAN,0.5,1.765,2.0,5.75,47,1,same,ca_detail_1762512270723
2000,3,22,VULKAN,0.5,1.765,2.0,90.98,1,1,same,ca_detail_1762512270723
2000,3,23,WALD,0.5,0.992,1.14,74.55,48,1,same,ca_detail_1762512270723
2000,3,24,WÜSTE,0.543,1.698,1.715,21.86,11,1,same,ca_detail_1762512270723
2000,3,25,VULKAN,0.543,2.0,0.802,65.6,4,1,same,ca_detail_1762512270723
2000,3,26,TUNDRA,0.543,1.698,1.715,47.35,25,1,same,ca_detail_1762512270723
