Anpassung,Effizienz,Mobilität,Energie,Alter,Umgebung,Kategorie
1.194,2.0,1.926,25.66,56,TUNDRA,same
1.194,2.0,2.0,57.0,5,VULKAN,same
0.5,1.633,1.617,53.67,5,VULKAN,same
0.5,1.633,1.617,25.87,8,VULKAN,same
1.819,1.55,1.93,43.42,6,VULKAN,same
1.819,2.0,1.93,27.22,28,WÜSTE,same
1.344,2.0,1.222,176.7,83,SUMPF,same
0.903,2.0,0.897,200.0,238,GRASLAND,same
1.098,1.825,0.897,178.84,20,GRASLAND,same
1.486,2.0,0.897,200.0,165,OZEAN,same
0.733,2.0,1.481,200.0,721,GRASLAND,same
0.523,2.0,1.481,200.0,607,GEBIRGE,same
1.854,2.0,0.897,73.76,8,WÜSTE,same
1.408,2.0,0.798,200.0,953,OZEAN,same
0.733,2.0,1.481,200.0,825,GEBIRGE,same
0.5,2.0,2.0,88.56,106,GEBIRGE,same
0.582,2.0,2.0,99.58,5,TUNDRA,same
0.5,2.0,1.402,200.0,261,SUMPF,same
0.838,1.786,1.597,200.0,903,OZEAN,same
0.5,2.0,2.0,167.4,184,GEBIRGE,same
0.5,1.712,2.0,41.19,20,TUNDRA,same
0.618,0.992,1.338,200.0,167,GRASLAND,same
0.5,1.11,1.14,63.45,4,WÜSTE,same
0.543,2.0,1.17,65.36,110,GEBIRGE,same
0.543,1.698,1.715,176.24,91,GRASLAND,same
0.543,1.698,1.715,81.72,2,VULKAN,same
0.554,1.956,2.0,67.27,212,VULKAN,same
0.709,1.564,2.0,200.0,552,SUMPF,same
0.715,2.0,1.157,200.0,176,SUMPF,same
0.715,2.0,1.55,91.91,31,TUNDRA,same
0.5,2.0,2.0,200.0,128,SUMPF,same
0.865,2.0,0.972,139.8,359,VULKAN,same
1.016,2.0,0.972,200.0,368,GEBIRGE,same
0.789,1.974,0.59,200.0,1940,OZEAN,same
1.245,2.0,0.643,200.0,1657,WALD,same
1.294,1.864,1.086,27.27,12,WÜSTE,same
1.223,1.864,1.086,159.27,27,GRASLAND,same
1.223,2.0,0.807,74.2,3,VULKAN,same
1.944,2.0,0.638,200.0,433,SUMPF,same
0.757,2.0,0.5,90.83,7,TUNDRA,same
0.757,2.0,0.5,199.95,66,OZEAN,same
0.938,2.0,0.706,200.0,264,GEBIRGE,same
1.361,2.0,0.64,165.49,303,TUNDRA,same
1.831,1.973,1.696,63.78,13,WÜSTE,same
2.0,1.973,1.696,53.53,6,VULKAN,same
0.79,1.896,1.664,200.0,777,OZEAN,same
0.677,2.0,2.0,39.8,7,VULKAN,same
0.677,2.0,1.818,200.0,151,SUMPF,same
0.5,1.76,0.8,200.0,749,WALD,same
0.559,2.0,0.8,200.0,922,GEBIRGE,same
1.194,2.0,2.0,129.46,61,SUMPF,same
1.194,2.0,2.0,57.48,90,TUNDRA,same
0.5,1.633,1.611,200.0,30,WALD,same
0.5,1.633,1.611,26.93,10,WÜSTE,same
0.5,1.633,2.0,172.08,14,WALD,same
1.324,2.0,1.634,200.0,386,SUMPF,same
1.344,2.0,1.142,74.2,3,VULKAN,same
0.547,1.948,1.387,200.0,761,OZEAN,same
1.098,2.0,0.897,19.4,210,VULKAN,same
1.221,1.825,0.897,19.4,12,WÜSTE,same
1.854,2.0,0.897,200.0,161,GEBIRGE,same
1.854,2.0,0.897,186.19,119,OZEAN,same
1.854,2.0,0.897,200.0,70,GRASLAND,same
1.607,2.0,0.897,200.0,45,SUMPF,same
1.408,2.0,0.798,200.0,923,GEBIRGE,same
2.0,2.0,2.0,200.0,517,GEBIRGE,same
0.5,2.0,2.0,116.9,63,OZEAN,same
0.5,2.0,2.0,85.51,9,OZEAN,same
0.5,2.0,2.0,200.0,387,OZEAN,same
0.645,2.0,2.0,56.83,193,TUNDRA,same
1.5,1.661,0.963,200.0,1894,SUMPF,same
0.5,2.0,2.0,200.0,323,OZEAN,same
0.618,1.013,1.338,86.62,117,WALD,same
0.501,1.698,1.763,200.0,46,SUMPF,same
0.543,1.896,2.0,37.86,83,TUNDRA,same
0.695,2.0,1.146,200.0,740,WALD,same
0.543,1.698,1.715,200.0,251,GRASLAND,same
