Zeitschritt,X,Y,Umgebung,Anpassung,Effizienz,Mobilität,Energie,Alter,Lebendig,Kategorie,Datei
2000,0,33,WÜSTE,1.051,1.865,1.783,37.82,10,1,same,ca_detail_1762512310071
2000,42,2,WÜSTE,1.182,1.069,2.0,90.69,1,1,same,ca_detail_1762512398038
2000,36,40,OZEAN,1.326,1.51,2.0,97.34,45,1,population,ca_detail_1762513249309-pop1250
2000,5,7,VULKAN,1.465,2.0,1.363,65.6,4,1,same,ca_detail_1762512346105
400,43,18,GRASLAND,0.997,1.062,0.742,200.0,353,1,steps,ca_detail_1762512748570
400,42,27,VULKAN,0.619,1.312,0.734,50.25,5,1,steps,ca_detail_1762512748570
2000,33,1,VULKAN,1.058,2.0,1.489,26.11,10,1,same,ca_detail_1762512398038
1200,34,34,VULKAN,0.523,2.0,1.931,57.0,5,1,steps,ca_detail_1762512788880
2000,9,22,WÜSTE,1.593,1.789,2.0,37.7,13,1,population,ca_detail_1762513304195-pop2500
2000,31,5,TUNDRA,2.0,2.0,1.663,200.0,332,1,seed,ca_detail_1762512624538
2000,48,16,WÜSTE,1.427,1.891,1.411,95.77,617,1,same,ca_detail_1762512370832
1200,1,48,TUNDRA,0.887,2.0,0.905,71.81,31,1,steps,ca_detail_1762512788880
2000,15,4,VULKAN,1.066,2.0,1.609,91.4,1,1,same,ca_detail_1762512370832
2000,33,6,WALD,2.0,1.72,1.808,200.0,39,1,population,ca_detail_1762513195633-pop625
800,25,25,GRASLAND,1.09,1.895,0.695,200.0,187,1,steps,ca_detail_1762512767599
2000,37,47,VULKAN,2.0,2.0,1.881,64.29,206,1,population,ca_detail_1762512974066-pop1
2000,16,18,GEBIRGE,2.0,2.0,0.906,200.0,145,1,seed,ca_detail_1762512598970
2000,12,37,WÜSTE,1.826,2.0,1.175,14.05,28,1,seed,ca_detail_1762512598970
1200,47,23,TUNDRA,0.654,2.0,1.719,167.21,546,1,steps,ca_detail_1762512788880
2000,13,22,SUMPF,1.406,1.523,0.717,200.0,144,1,same,ca_detail_1762512310071
2000,23,48,TUNDRA,0.5,1.4,1.366,4.41,20,1,steps,ca_detail_1762512849242
